title,who,what,keywords,keywords_bert
환의 세계사 함무라비 법전 판결 오류 판사 배상 영구 추방,귀족 부유,국내 대기업 미국 기업 특허 분쟁,"['분쟁', '세계사', '법전', '오류', '함무라비', '추방', '배상', '귀족', '환의', '부유', '영구', '대기업', '특허', '판사', '국내', '판결', '기업', '미국', '발탁', '번의', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '법률', '벌금', '배지', '발령']","[""['분쟁',"", ""'발령']"", ""'기업',"", ""'함무라비',"", ""'배지',"", ""'영구',"", ""'대기업',"", ""'추방',"", ""'버거',"", ""'백현동',""]"
말레이 여객기 도로 수직 추락 화염,말레이시아,말레이시아 소형 여객기 추락 사고,"['추락', '여객기', '말레이시아', '화염', '말레이', '수직', '도로', '소형', '사고', '버스킹', '백두산', '배포', '백현동', '백화점', '배지', '버거', '버스', '히알루론산', '번의', '배송', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강']","[""['추락',"", ""'보강']"", ""'화염',"", ""'소형',"", ""'말레이시아',"", ""'버스킹',"", ""'백두산',"", ""'배포',"", ""'백현동',"", ""'여객기',""]"
마이크로 닉스 지포스 구매 대상 오버 워치 인베이전 얼티밋 증정,한미 마이크로 닉스,오버 워치 인베이전,"['마이크로', '오버', '워치', '인베이전', '닉스', '얼티밋', '지포스', '구매', '증정', '대상', '한미', '버스', '배우', '배지', '배포', '보강', '백두산', '백현동', '백화점', '버거', '병원', '버스킹', '병동', '벌금', '배송', '법률', '법원', '법전', '베이트', '변경']","[""['마이크로',"", ""'변경']"", ""'배우',"", ""'버거',"", ""'오버',"", ""'구매',"", ""'배지',"", ""'지포스',"", ""'버스킹',"", ""'한미',""]"
서울 오후 서북 서남 오존 주의보 발령,서울 보건 환경 연구원,오존 주의보,"['주의보', '오존', '서울', '서남', '서북', '보건', '연구원', '발령', '환경', '오후', '발롱도르', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '법률', '벌금', '배송', '법원', '법전', '베이트', '변경', '변신', '반영', '병동']","[""'병동']"", ""['주의보',"", ""'법원',"", ""'연구원',"", ""'서울',"", '서울', '서울', ""'서북',"", ""'서남',"", ""'발롱도르',""]"
칭따오 프로 스포츠 생활 스포츠 스포츠 마케팅 강화,칭따오,엔데믹,"['스포츠', '칭따오', '엔데믹', '강화', '마케팅', '생활', '프로', '배우', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '배상', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건', '보건복지부']","[""'보건복지부']"", ""['스포츠',"", ""'배우',"", ""'번의',"", ""'칭따오',"", ""'엔데믹',"", ""'강화',"", ""'배지',"", ""'백두산',"", ""'백현동',""]"
윤진호 교촌 에프 앤비 대표 코리아 린지 동참,한국 에너지 관리 공단,폭염 폭우 기후 위기,"['폭우', '동참', '윤진호', '기후', '에프', '린지', '교촌', '앤비', '폭염', '에너지', '공단', '코리아', '대표', '관리', '위기', '한국', '버거', '배우', '배지', '배포', '백두산', '백현동', '백화점', '보강', '버스', '법전', '버스킹', '병원', '병동', '변신']","[""['폭우',"", ""'변신']"", ""'배우',"", ""'위기',"", ""'대표',"", ""'기후',"", ""'병동',"", ""'린지',"", ""'버거',"", ""'에프',""]"
뉴스 현장 계속 부실 경찰 본사 압수수색,,철근 누락 사태,"['본사', '누락', '부실', '압수수색', '철근', '현장', '계속', '경찰', '사태', '뉴스', '배포', '버스', '백두산', '배지', '백현동', '백화점', '배우', '버거', '히알루론산', '버스킹', '번의', '배상', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동']","[""'병동']"", ""['본사',"", ""'뉴스',"", ""'현장',"", ""'경찰',"", ""'배우',"", ""'법원',"", ""'베이트',"", ""'배포',"", ""'변경',""]"
청계 가구 분양 순위 청약 접수,에코 플랜트,청계,"['청계', '분양', '접수', '플랜트', '순위', '에코', '청약', '가구', '버스킹', '배상', '배송', '배우', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스', '보강', '병원', '번의', '배구', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신']","[""['청계',"", ""'변신']"", ""'가구',"", ""'백현동',"", ""'분양',"", ""'접수',"", ""'에코',"", ""'청약',"", ""'버스킹',"", ""'배상',""]"
김포 상대 전적 우위 충북 청주 안방 연속 무패 행진 도전,한국 프로축구 연맹,김포 대결 이목 집중 전망 한편 충북 청주 경기 이벤트 준비 경기 당일 오후 서문 블루 스토어 부스 사인회 진행 청원 생명 축제,"['충북', '청주', '김포', '경기', '전망', '우위', '이목', '전적', '행진', '안방', '무패', '사인회', '블루', '한편', '서문', '생명', '당일', '청원', '부스', '축제', '집중', '상대', '연속', '스토어', '준비', '프로축구', '오후', '진행', '도전', '이벤트']","[""['충북',"", ""'이벤트']"", ""'축제',"", ""'한편',"", ""'도전',"", ""'청주',"", ""'김포',"", ""'전망',"", ""'우위',"", ""'전적',""]"
소나기 체감 무더위 계속 서울 대구 날씨,황덕현,폭염,"['소나기', '무더위', '날씨', '체감', '황덕현', '폭염', '계속', '대구', '서울', '버거', '백화점', '백현동', '배지', '백두산', '배포', '버스킹', '배우', '배송', '버스', '히알루론산', '번의', '벌금', '배상', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['소나기',"", ""'병원']"", ""'배우',"", ""'배포',"", ""'무더위',"", ""'날씨',"", ""'체감',"", ""'황덕현',"", ""'계속',"", ""'대구',""]"
의약품 부작용 피해 구제 신청 방법 봉투 확인 가능,사회,정상 의약품 사용 불구 사망 장애 질병,"['의약품', '불구', '구제', '장애', '질병', '사망', '봉투', '부작용', '정상', '사회', '신청', '방법', '확인', '피해', '가능', '사용', '법률', '백현동', '백화점', '버거', '버스', '발각', '버스킹', '번의', '반영', '벌금', '발탁', '방귀', '법원', '법전']","[""['의약품',"", ""'법전']"", ""'신청',"", ""'법률',"", ""'불구',"", ""'구제',"", ""'질병',"", ""'사망',"", ""'부작용',"", ""'정상',""]"
김희선 경력 단절 심경 젖병 나이 위축 퀴즈 종합,품위 그녀,경력 단절 공포,"['경력', '단절', '나이', '심경', '젖병', '품위', '공포', '그녀', '퀴즈', '김희선', '위축', '종합', '백두산', '백현동', '백화점', '버거', '배포', '배지', '배우', '히알루론산', '번의', '버스', '버스킹', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신']","[""['경력',"", ""'변신']"", ""'종합',"", ""'배포',"", ""'단절',"", ""'젖병',"", ""'품위',"", ""'공포',"", ""'변경',"", ""'위축',""]"
스브스픽 순식간 버스 불길,부아 노스 이레 경찰,고속도로 버스 나기 시작 연료 불길 도로 전체 현지 아르헨티나 부에노스아이레스 고속도로 화면 도로 버스 갑자기 나기 시작 타고 수십 명의 승객 긴급 대피,"['버스', '나기', '불길', '시작', '고속도로', '도로', '이레', '부아', '부에노스아이레스', '긴급', '승객', '노스', '수십', '순식간', '갑자기', '타고', '화면', '아르헨티나', '명의', '연료', '스브스픽', '전체', '대피', '현지', '경찰', '백화점', '백현동', '백두산', '히알루론산', '버거']","[""'버거']"", ""'경찰',"", ""'타고',"", ""'나기',"", ""'불길',"", ""'시작',"", ""'이레',"", ""'부아',"", ""'부에노스아이레스',"", ""'승객',""]"
박세리 역사 굿바이 금융 그룹 오픈 출발,금융 그룹,읏뜸 라운드,"['금융', '그룹', '읏뜸', '역사', '굿바이', '출발', '박세리', '라운드', '오픈', '보강', '병원', '배지', '배포', '보고', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '보건복지부', '법률', '배우', '법전', '베이트', '변경', '변신', '보건']","[""['금융',"", ""'버스킹',"", ""'굿바이',"", ""'백두산',"", ""'보강',"", ""'백현동',"", ""'법률',"", ""'변경',"", ""'변신',"", ""'역사',""]"
밀리 서재 김대호 아나운서 포토 에세이 김대호 사진 일기 연재,서영택,평일 아나운서 주말 인왕산 자연인 이야기 예정 김대호 직접 촬영 사진 위트 보고 재미 최근 공개 산다 소개 사적 모임 동대문 사단 펜션 박의 이야기,"['김대호', '아나운서', '이야기', '사진', '위트', '평일', '포토', '소개', '밀리', '자연인', '주말', '예정', '에세이', '모임', '연재', '인왕산', '보고', '사단', '일기', '서영택', '서재', '직접', '산다', '펜션', '동대문', '재미', '박의', '사적', '촬영', '최근']","[""['김대호',"", ""'사진',"", ""'최근']"", ""'포토',"", ""'촬영',"", ""'보고',"", ""'재미',"", ""'예정',"", ""'사적',"", ""'아나운서',""]"
이동관 방통위 원장 후보자 청문회 아들 학폭,강변 앞서 후보자 입장 아들 학폭 의혹 반박 후보자 물리 다툼 일방 가해 이후 사과 화해 강득구 민주당,학폭,"['학폭', '후보자', '아들', '반박', '앞서', '화해', '사과', '강득구', '강변', '이동관', '물리', '가해', '방통위', '다툼', '일방', '청문회', '원장', '이후', '입장', '의혹', '민주당', '부에노스아이레스', '방출', '방화', '배구', '배병준', '배상', '배송', '배우', '배지']","[""['학폭',"", ""'배지']"", ""'배우',"", ""'민주당',"", ""'배송',"", ""'부에노스아이레스',"", ""'사과',"", ""'강득구',"", ""'일방',"", ""'다툼',""]"
랜드 나윤 명지대 예술 학부 졸업,명지대 학교 명지대 학교,서울 공연예술 고등학교 방송 연예,"['명지대', '학교', '방송', '나윤', '예술', '연예', '졸업', '랜드', '학부', '고등학교', '공연예술', '서울', '버스킹', '히알루론산', '버거', '백화점', '백현동', '백두산', '배포', '배지', '버스', '벌금', '번의', '배송', '법률', '법원', '법전', '베이트', '변경', '변신']","[""['명지대',"", ""'변신']"", ""'히알루론산',"", ""'학부',"", ""'버거',"", ""'법률',"", ""'백현동',"", ""'졸업',"", ""'변경',"", ""'법전',""]"
사설 부동산 위기 경보 중국 경제,중국,리먼 브라더스 사태,"['중국', '경보', '브라더스', '사설', '리먼', '경제', '부동산', '사태', '위기', '변신', '보강', '배우', '보건복지부', '보건', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스', '병동', '병원', '버스킹', '번의', '배송', '법률', '법원', '법전', '베이트']","[""'베이트']"", ""['중국',"", ""'백두산',"", ""'경보',"", ""'브라더스',"", ""'사설',"", ""'리먼',"", ""'사태',"", ""'법전',"", ""'보강',""]"
여자배구 대표팀 반등 핵심 과제 김연경 자신감,김연경,배구 여제 김연경 국가대표팀 은퇴 전력 공백 자신감 약점 지목 자신감 코트 리더 자신감 악순환 반복,"['자신감', '김연경', '여제', '반등', '여자배구', '공백', '약점', '지목', '악순환', '국가대표팀', '반복', '전력', '과제', '코트', '리더', '핵심', '은퇴', '배구', '대표팀', '방화', '배병준', '백현동', '배송', '배우', '배지', '배포', '백두산', '배상', '부품', '방통위']","[""['자신감',"", ""'방통위']"", ""'배우',"", ""'코트',"", ""'김연경',"", ""'반등',"", ""'여자배구',"", ""'공백',"", ""'약점',"", ""'지목',""]"
미국 북한 러시아 무기 거래 관련 기관 제재 전쟁 지원 색출,러시아,우크라이나 전쟁,"['전쟁', '러시아', '색출', '제재', '무기', '우크라이나', '관련', '기관', '거래', '북한', '지원', '미국', '보건', '배지', '배포', '보건복지부', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '보강', '번의', '벌금', '법률', '법전', '베이트', '변경', '변신']","[""'변신']"", ""'관련',"", ""'백현동',"", ""'우크라이나',"", ""'변경',"", ""'러시아',"", ""'배지',"", ""'보건복지부',"", ""'백두산',"", ""'무기',""]"
탁구 조승민 생애 남자 단식 세계 진입,중국,월드 테이블테니스 컨텐더 리우데자네이루 대회 결과 조승민 대회 진출 조승민 츠시마 소라 일본 결승 진출 실패,"['조승민', '대회', '진출', '리우데자네이루', '남자', '단식', '생애', '소라', '테이블테니스', '결과', '탁구', '츠시마', '컨텐더', '진입', '실패', '세계', '결승', '월드', '일본', '중국', '배포', '백두산', '배우', '배지', '히알루론산', '백현동', '백화점', '배송', '버스', '버스킹']","[""'버스킹']"", ""['조승민',"", ""'배우',"", ""'세계',"", ""'테이블테니스',"", ""'결승',"", ""'진출',"", ""'배지',"", ""'단식',"", ""'소라',""]"
대회 지난해 시청률 관중 감소,한국 배구 연맹,남녀 대표팀 국제 대회 실패,"['대회', '관중', '시청률', '남녀', '지난해', '감소', '실패', '국제', '배구', '연맹', '대표팀', '한국', '변경', '베이트', '배포', '백두산', '백현동', '보건복지부', '보건', '보강', '병원', '병동', '변신', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '배지']","[""'배지']"", ""'국제',"", ""'한국',"", ""['대회',"", ""'백두산',"", ""'관중',"", ""'시청률',"", ""'감소',"", ""'실패',"", ""'벌금',""]"
대구 국토부 차관 노후 산업 재생 사업 적극 추진,국토교통부,산업 조성 경과 기반시설 노후 화로 정주 여건 악화 생산 저하,"['노후', '산업', '재생', '정주', '악화', '기반시설', '생산', '경과', '여건', '국토교통부', '국토부', '차관', '저하', '조성', '화로', '사업', '적극', '추진', '대구', '방법', '발령', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '발목', '발롱도르']","[""['노후',"", ""'발롱도르']"", ""'여건',"", ""'생산',"", ""'산업',"", ""'대구',"", ""'경과',"", ""'저하',"", ""'조성',"", ""'화로',""]"
꼬모드빈티 차트 협찬 기념 제품 최대 할인 이벤트,꼬모드빈티,차트 협찬,"['꼬모드빈티', '협찬', '차트', '할인', '최대', '기념', '제품', '이벤트', '백두산', '백화점', '백현동', '배포', '버스', '배지', '배우', '배송', '배상', '버거', '히알루론산', '버스킹', '배구', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동']","[""['꼬모드빈티',"", ""'병동']"", ""'배상',"", ""'협찬',"", ""'차트',"", ""'할인',"", ""'최대',"", ""'이벤트',"", ""'백두산',"", ""'변신',""]"
반바지 전통의상 맥주 뮌헨 입단 연례 행사 의무 참석 규칙 케인,바이에른 뮌헨,독일 전통의상 반바지 맥주잔,"['반바지', '뮌헨', '전통의상', '규칙', '연례', '바이에른', '케인', '의무', '맥주잔', '맥주', '입단', '독일', '행사', '참석', '부품', '버스', '배상', '배송', '배우', '배지', '배포', '백두산', '백현동', '백화점', '버거', '번의', '버스킹', '배구', '벌금', '분량']","[""['반바지',"", ""'분량']"", ""'행사',"", ""'배우',"", ""'번의',"", ""'버스킹',"", ""'맥주',"", ""'입단',"", ""'벌금',"", ""'배구',""]"
부킹 전쟁 지방 수도권 골퍼 복귀 대비 수도권 골프장 이용 증가,엑스 골프 회원,부킹 전쟁,"['수도권', '부킹', '전쟁', '이용', '대비', '회원', '증가', '엑스', '골프장', '골퍼', '지방', '골프', '복귀', '배지', '배포', '백두산', '배우', '백현동', '백화점', '버거', '버스', '히알루론산', '버스킹', '번의', '벌금', '법률', '배상', '법원', '법전', '베이트']","[""'베이트']"", ""['수도권',"", ""'대비',"", ""'배우',"", ""'지방',"", ""'법원',"", ""'배포',"", ""'부킹',"", ""'이용',"", ""'회원',""]"
롯데리아 기술 적용 버거 뮤직 음원 공개,롯데리아,기술 활용 마케팅 캠페인,"['롯데리아', '기술', '음원', '뮤직', '버거', '캠페인', '활용', '마케팅', '적용', '공개', '백현동', '백화점', '백두산', '버스', '버스킹', '배포', '배지', '번의', '법률', '벌금', '배송', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건']","[""['롯데리아',"", ""'보건']"", ""'기술',"", ""'배지',"", ""'음원',"", ""'버거',"", ""'캠페인',"", ""'활용',"", ""'보강',"", ""'백현동',""]"
폐기물 자원 순환 산업 킨텍스 개막,한국 폐기물 협회 수도권매립지 관리 공사,폐기물 자원 순환 산업,"['폐기물', '순환', '자원', '산업', '수도권매립지', '킨텍스', '개막', '협회', '공사', '관리', '한국', '백현동', '버거', '버스', '백두산', '버스킹', '배포', '배지', '백화점', '히알루론산', '배송', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동']","[""['폐기물',"", ""'병동']"", ""'배지',"", ""'순환',"", ""'수도권매립지',"", ""'킨텍스',"", ""'변신',"", ""'백현동',"", ""'버거',"", ""'백두산',""]"
단독 송호 에코 프로 대표 임원 사주 매각 자제 통보 투자,에코 프로 그룹,스톡옵션,"['에코', '프로', '통보', '스톡옵션', '임원', '사주', '송호', '자제', '매각', '단독', '투자', '그룹', '대표', '배포', '백두산', '백현동', '배지', '배우', '백화점', '배송', '버거', '히알루론산', '버스', '버스킹', '배병준', '번의', '벌금', '법률', '법원', '법전']","[""['에코',"", ""'법전']"", ""'투자',"", ""'배우',"", ""'대표',"", ""'사주',"", ""'임원',"", ""'스톡옵션',"", ""'백현동',"", ""'배지',""]"
지란 데이터 시스 정보보호 환경 구축 위해,시스,오스 정보 유출 해킹,"['시스', '정보보호', '지란', '오스', '구축', '환경', '유출', '위해', '해킹', '정보', '데이터', '배포', '배지', '배우', '번의', '백현동', '백화점', '버거', '버스', '버스킹', '백두산', '히알루론산', '벌금', '배상', '법률', '법원', '법전', '베이트', '변경', '변신']","[""['시스',"", ""'변신']"", ""'배우',"", ""'번의',"", ""'정보보호',"", ""'지란',"", ""'오스',"", ""'구축',"", ""'유출',"", ""'위해',""]"
히알루론산 필러 볼렉스 태국 품목 허가 획득,태국 식약처,태국,"['태국', '식약처', '히알루론산', '필러', '허가', '품목', '볼렉스', '획득', '배포', '백화점', '백현동', '백두산', '배지', '버스', '배우', '배송', '배상', '버거', '벌금', '버스킹', '번의', '배구', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['태국',"", ""'병원']"", ""'배우',"", ""'식약처',"", ""'필러',"", ""'품목',"", ""'볼렉스',"", ""'획득',"", ""'배포',"", ""'병동',""]"
바렛 캐나다 디펜딩 챔피언 스페인 연장 접전 격파,캐나다 농구 대표팀 공식 제공 바렛 뉴욕 닉스 경기 연속 캐나다,김하영 기자,"['캐나다', '바렛', '접전', '김하영', '디펜딩', '뉴욕', '챔피언', '격파', '농구', '스페인', '연장', '연속', '닉스', '공식', '대표팀', '기자', '제공', '경기', '배상', '변신', '변경', '배송', '배우', '배지', '배포', '베이트', '법전', '백화점', '법원', '백현동']","[""['캐나다',"", ""'백현동']"", ""'배우',"", ""'기자',"", ""'경기',"", ""'공식',"", ""'바렛',"", ""'접전',"", ""'김하영',"", ""'뉴욕',""]"
대통령 미국 워싱턴 도착 바이든 부친상 위로 전화,안보 동맹,하와이 마우이 산불,"['워싱턴', '바이든', '도착', '전화', '위로', '안보', '부친상', '동맹', '하와이', '산불', '마우이', '대통령', '미국', '백현동', '백두산', '백화점', '배포', '버거', '버스', '배지', '버스킹', '법원', '번의', '벌금', '법률', '배송', '법전', '베이트', '변경', '변신']","[""['워싱턴',"", ""'변신']"", ""'대통령',"", ""'법원',"", ""'전화',"", ""'백두산',"", ""'바이든',"", ""'도착',"", ""'부친상',"", ""'변경',""]"
경남 소식 부마 민주 항쟁 기념 재단 학생 장학금 지원,부마 민주 항쟁 기념 재단,민주화 운동,"['부마', '민주', '항쟁', '재단', '기념', '경남', '민주화', '장학금', '운동', '학생', '소식', '지원', '배포', '배상', '병동', '변신', '배송', '변경', '배우', '배지', '베이트', '법원', '백두산', '법률', '백화점', '버거', '배병준', '버스', '버스킹', '번의']","[""['부마',"", ""'번의']"", ""'배우',"", ""'지원',"", ""'변신',"", ""'항쟁',"", ""'경남',"", ""'버스킹',"", ""'장학금',"", ""'소식',""]"
한국 사이버 안보 학회 국가 전략 포럼 개최,한국 사이버 안보 학회 국가 전략 위원회,파이브 아이즈 정보 동맹,"['전략', '학회', '국가', '안보', '사이버', '한국', '파이브', '아이즈', '동맹', '포럼', '정보', '개최', '위원회', '버거', '벌금', '백두산', '버스', '백화점', '백현동', '버스킹', '번의', '히알루론산', '법률', '법원', '법전', '배지', '베이트', '변경', '변신', '병동']","[""'병동']"", ""'포럼',"", ""['전략',"", ""'한국',"", ""'법원',"", ""'배지',"", ""'변신',"", ""'아이즈',"", ""'사이버',"", ""'베이트',""]"
침몰 발언 이철규 박수,구성원,침몰,"['침몰', '구성원', '박수', '이철규', '발언', '히알루론산', '백화점', '번의', '버스킹', '버스', '버거', '백현동', '법률', '백두산', '배포', '배지', '벌금', '베이트', '법원', '법전', '배송', '변경', '변신', '병동', '병원', '보강', '보건', '보건복지부', '배우', '배상']","[""'발언',"", ""['침몰',"", ""'배상']"", ""'배우',"", ""'배포',"", ""'구성원',"", ""'박수',"", ""'이철규',"", ""'히알루론산',"", ""'번의',""]"
부동산 금리 정부 인식 대응 사설,중국,차이나 리스크,"['인식', '차이나', '리스크', '금리', '사설', '대응', '정부', '부동산', '중국', '배우', '배송', '버거', '배포', '백두산', '배상', '백현동', '백화점', '배지', '히알루론산', '버스', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['인식',"", ""'병원']"", ""'배우',"", ""'법원',"", ""'백현동',"", ""'차이나',"", ""'리스크',"", ""'사설',"", ""'대응',"", ""'병동',""]"
축제 네이버 지역 뉴스,네이버,김혜진 네이버 뉴스 리더,"['네이버', '뉴스', '김혜진', '리더', '축제', '지역', '발롱도르', '벌금', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '반영', '반복', '번의', '법률', '발목', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건', '보건복지부']","[""'보건복지부']"", ""['네이버',"", ""'뉴스',"", ""'축제',"", ""'지역',"", ""'법원',"", ""'보건',"", ""'김혜진',"", ""'벌금',"", ""'배포',""]"
